,Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4
709,26-05-2012,7500,3407,4137,1291,23775,21600.38,22422.54,9204.83
710,27-05-2012,1401,1609,1961,1897,4441.17,10201.06,10628.62,13525.61
711,28-05-2012,1693,1023,2058,1163,5366.81,6485.82,11154.36,8292.19
712,29-05-2012,5097,795,3543,933,16157.49,5040.3,19203.06,6652.29
713,30-05-2012,1117,2963,3241,875,3540.89,18785.42,17566.22,6238.75
714,31-05-2012,1128,1348,3487,1019,3575.76,8546.32,18899.54,7265.47
715,01-06-2012,7106,1403,1311,918,22526.02,8895.02,7105.62,6545.34
716,02-06-2012,4765,2123,4776,1349,15105.05,13459.82,25885.92,9618.37
717,03-06-2012,353,2554,1631,1960,1119.01,16192.36,8840.02,13974.8
718,04-06-2012,6214,2995,3631,914,19698.38,18988.3,19680.02,6516.82
719,05-06-2012,7501,3407,2539,505,23778.17,21600.38,13761.38,3600.65
720,06-06-2012,1120,2725,5461,993,3550.4,17276.5,29598.62,7080.09
721,07-06-2012,7033,1509,4612,770,22294.61,9567.06,24997.04,5490.1
722,08-06-2012,7198,3135,2945,955,22817.66,19875.9,15961.9,6809.15
723,09-06-2012,2130,1707,3999,1568,6752.1,10822.38,21674.58,11179.84
724,10-06-2012,2481,666,4280,456,7864.77,4222.44,23197.6,3251.28
725,11-06-2012,5682,1399,1890,1007,18011.94,8869.66,10243.8,7179.91
726,12-06-2012,2606,1682,2831,1571,8261.02,10663.88,15344.02,11201.23
727,13-06-2012,5178,1157,2916,426,16414.26,7335.38,15804.72,3037.38
728,14-06-2012,476,1383,3268,1483,1508.92,8768.22,17712.56,10573.79
729,15-06-2012,4159,487,4336,971,13184.03,3087.58,23501.12,6923.23
730,16-06-2012,5473,3671,5769,1440,17349.41,23274.14,31267.98,10267.2
731,17-06-2012,5729,3261,2504,576,18160.93,20674.74,13571.68,4106.88
732,18-06-2012,1043,2448,2315,1050,3306.31,15520.32,12547.3,7486.5
733,19-06-2012,3687,3268,1685,294,11687.79,20719.12,9132.7,2096.22
734,20-06-2012,5483,1215,940,642,17381.11,7703.1,5094.8,4577.46
735,21-06-2012,6352,391,461,412,20135.84,2478.94,2498.62,2937.56
736,22-06-2012,1743,3909,1976,1900,5525.31,24783.06,10709.92,13547
737,23-06-2012,1531,3575,2869,1537,4853.27,22665.5,15549.98,10958.81
738,24-06-2012,6039,3906,5037,475,19143.63,24764.04,27300.54,3386.75
739,25-06-2012,2478,2191,1634,902,7855.26,13890.94,8856.28,6431.26
740,26-06-2012,7207,3545,2859,1903,22846.19,22475.3,15495.78,13568.39
741,27-06-2012,4493,2280,1707,1895,14242.81,14455.2,9251.94,13511.35
742,28-06-2012,7651,1380,5564,940,24253.67,8749.2,30156.88,6702.2
743,29-06-2012,3463,3852,3259,1278,10977.71,24421.68,17663.78,9112.14
744,30-06-2012,7082,2679,771,1724,22449.94,16984.86,4178.82,12292.12
745,01-07-2012,7517,2285,1804,1499,23828.89,14486.9,9777.68,10687.87
746,02-07-2012,6287,3007,5239,813,19929.79,19064.38,28395.38,5796.69
747,03-07-2012,3501,3805,4587,1827,11098.17,24123.7,24861.54,13026.51
748,04-07-2012,7577,1567,557,958,24019.09,9934.78,3018.94,6830.54
749,05-07-2012,2969,2505,5793,761,9411.73,15881.7,31398.06,5425.93
750,06-07-2012,6651,632,5763,1384,21083.67,4006.88,31235.46,9867.92
751,07-07-2012,5462,3874,2180,1867,17314.54,24561.16,11815.6,13311.71
752,08-07-2012,2616,3316,5003,1542,8292.72,21023.44,27116.26,10994.46
753,09-07-2012,2112,1657,2580,305,6695.04,10505.38,13983.6,2174.65
754,10-07-2012,3364,1854,2926,1215,10663.88,11754.36,15858.92,8662.95
755,11-07-2012,1708,3093,497,1100,5414.36,19609.62,2693.74,7843
756,12-07-2012,4673,2278,1536,1374,14813.41,14442.52,8325.12,9796.62
757,13-07-2012,3396,1340,4890,1616,10765.32,8495.6,26503.8,11522.08
758,14-07-2012,3508,1819,3265,786,11120.36,11532.46,17696.3,5604.18
759,15-07-2012,1758,1685,3143,1160,5572.86,10682.9,17035.06,8270.8
760,16-07-2012,5801,612,1859,1153,18389.17,3880.08,10075.78,8220.89
761,17-07-2012,7043,2498,3669,1586,22326.31,15837.32,19885.98,11308.18
762,18-07-2012,4211,3413,3841,1084,13348.87,21638.42,20818.22,7728.92
763,19-07-2012,6439,2049,260,1174,20411.63,12990.66,1409.2,8370.62
764,20-07-2012,5117,1224,3133,1788,16220.89,7760.16,16980.86,12748.44
765,21-07-2012,5673,1606,1961,1794,17983.41,10182.04,10628.62,12791.22
766,22-07-2012,2129,1439,5141,1843,6748.93,9123.26,27864.22,13140.59
767,23-07-2012,5658,2016,4942,1543,17935.86,12781.44,26785.64,11001.59
768,24-07-2012,3534,2422,1519,421,11202.78,15355.48,8232.98,3001.73
769,25-07-2012,3270,1334,2504,1036,10365.9,8457.56,13571.68,7386.68
770,26-07-2012,4741,2241,2897,1261,15028.97,14207.94,15701.74,8990.93
771,27-07-2012,6072,1117,5238,1891,19248.24,7081.78,28389.96,13482.83
772,28-07-2012,2479,3095,3811,1744,7858.43,19622.3,20655.62,12434.72
773,29-07-2012,2112,2561,3628,1801,6695.04,16236.74,19663.76,12841.13
774,30-07-2012,5229,2789,2507,1177,16575.93,17682.26,13587.94,8392.01
775,31-07-2012,2715,829,2827,666,8606.55,5255.86,15322.34,4748.58
776,01-08-2012,2349,790,2257,672,7446.33,5008.6,12232.94,4791.36
777,02-08-2012,6737,1718,4081,1833,21356.29,10892.12,22119.02,13069.29
778,03-08-2012,6163,2631,731,552,19536.71,16680.54,3962.02,3935.76
779,04-08-2012,4351,276,2337,1599,13792.67,1749.84,12666.54,11400.87
780,05-08-2012,1637,3891,5004,1396,5189.29,24668.94,27121.68,9953.48
781,06-08-2012,2376,3798,1058,1784,7531.92,24079.32,5734.36,12719.92
782,07-08-2012,3887,3872,1703,1891,12321.79,24548.48,9230.26,13482.83
783,08-08-2012,7065,3097,4439,633,22396.05,19634.98,24059.38,4513.29
784,09-08-2012,7095,2671,4351,834,22491.15,16934.14,23582.42,5946.42
785,10-08-2012,4555,3530,1733,1137,14439.35,22380.2,9392.86,8106.81
786,11-08-2012,7719,1551,917,1870,24469.23,9833.34,4970.14,13333.1
787,12-08-2012,2609,2406,402,1597,8270.53,15254.04,2178.84,11386.61
788,13-08-2012,669,1817,2541,554,2120.73,11519.78,13772.22,3950.02
789,14-08-2012,5005,672,3778,1077,15865.85,4260.48,20476.76,7679.01
790,15-08-2012,6447,3646,630,426,20436.99,23115.64,3414.6,3037.38
791,16-08-2012,5525,3238,3436,1389,17514.25,20528.92,18623.12,9903.57
792,17-08-2012,1761,2814,4988,1348,5582.37,17840.76,27034.96,9611.24
793,18-08-2012,4527,2472,4554,1089,14350.59,15672.48,24682.68,7764.57
794,19-08-2012,2735,2042,2053,569,8669.95,12946.28,11127.26,4056.97
795,20-08-2012,632,2576,5438,1360,2003.44,16331.84,29473.96,9696.8
796,21-08-2012,4782,2449,2843,1191,15158.94,15526.66,15409.06,8491.83
797,22-08-2012,5941,1467,4352,425,18832.97,9300.78,23587.84,3030.25
798,23-08-2012,7090,1316,5264,568,22475.3,8343.44,28530.88,4049.84
799,24-08-2012,7595,1454,2315,1129,24076.15,9218.36,12547.3,8049.77
800,25-08-2012,3407,1664,5099,478,10800.19,10549.76,27636.58,3408.14
801,26-08-2012,3361,1978,2164,729,10654.37,12540.52,11728.88,5197.77
802,27-08-2012,5409,3603,3907,1385,17146.53,22843.02,21175.94,9875.05
803,28-08-2012,5497,2901,4721,1709,17425.49,18392.34,25587.82,12185.17
804,29-08-2012,5019,2843,4419,587,15910.23,18024.62,23950.98,4185.31
805,31-08-2012,1249,2313,5939,704,3959.33,14664.42,32189.38,5019.52
806,01-09-2012,1721,3957,5744,1432,5455.57,25087.38,31132.48,10210.16
807,02-09-2012,5682,1033,4525,397,18011.94,6549.22,24525.5,2830.61
808,03-09-2012,268,324,1406,1088,849.56,2054.16,7620.52,7757.44
809,04-09-2012,1644,1391,3463,1071,5211.48,8818.94,18769.46,7636.23
810,05-09-2012,5673,3350,2901,980,17983.41,21239,15723.42,6987.4
811,06-09-2012,5139,1750,5480,1558,16290.63,11095,29701.6,11108.54
812,07-09-2012,6681,2604,2537,319,21178.77,16509.36,13750.54,2274.47
813,08-09-2012,1069,3947,5851,1474,3388.73,25023.98,31712.42,10509.62
814,09-09-2012,296,1154,4546,255,938.32,7316.36,24639.32,1818.15
815,10-09-2012,3688,2183,2082,778,11690.96,13840.22,11284.44,5547.14
816,11-09-2012,3538,1861,5755,1253,11215.46,11798.74,31192.1,8933.89
817,12-09-2012,6341,409,4484,1661,20100.97,2593.06,24303.28,11842.93
818,13-09-2012,6455,2901,1136,1640,20462.35,18392.34,6157.12,11693.2
819,14-09-2012,6584,1109,1795,1275,20871.28,7031.06,9728.9,9090.75
820,15-09-2012,1114,2116,4191,1751,3531.38,13415.44,22715.22,12484.63
821,16-09-2012,5192,569,2986,299,16458.64,3607.46,16184.12,2131.87
822,17-09-2012,7148,1209,1851,1652,22659.16,7665.06,10032.42,11778.76
823,18-09-2012,6720,2101,2316,1226,21302.4,13320.34,12552.72,8741.38
824,19-09-2012,473,1887,2051,935,1499.41,11963.58,11116.42,6666.55
825,20-09-2012,1540,1208,4231,1339,4881.8,7658.72,22932.02,9547.07
826,21-09-2012,4762,347,1649,498,15095.54,2199.98,8937.58,3550.74
827,22-09-2012,6298,3958,4314,1001,19964.66,25093.72,23381.88,7137.13
828,23-09-2012,1883,1551,3698,1890,5969.11,9833.34,20043.16,13475.7
829,24-09-2012,1607,2645,4742,1033,5094.19,16769.3,25701.64,7365.29
830,25-09-2012,1290,2096,3184,1124,4089.3,13288.64,17257.28,8014.12
831,26-09-2012,461,2390,661,1664,1461.37,15152.6,3582.62,11864.32
832,27-09-2012,2045,3994,3407,461,6482.65,25321.96,18465.94,3286.93
833,28-09-2012,2665,3681,3631,966,8448.05,23337.54,19680.02,6887.58
834,29-09-2012,5814,2674,705,1648,18430.38,16953.16,3821.1,11750.24
835,30-09-2012,2377,1141,774,1424,7535.09,7233.94,4195.08,10153.12
836,31-9-2012,1003,256,1346,1449,3179.51,1623.04,7295.32,10331.37
837,01-10-2012,2533,1093,2696,1286,8029.61,6929.62,14612.32,9169.18
838,02-10-2012,865,1516,5277,1631,2742.05,9611.44,28601.34,11629.03
839,03-10-2012,6530,857,5632,590,20700.1,5433.38,30525.44,4206.7
840,04-10-2012,5612,2549,3313,1828,17790.04,16160.66,17956.46,13033.64
841,05-10-2012,3695,3835,4363,1802,11713.15,24313.9,23647.46,12848.26
842,06-10-2012,7517,2580,4707,699,23828.89,16357.2,25511.94,4983.87
843,07-10-2012,2203,2602,2260,1621,6983.51,16496.68,12249.2,11557.73
844,08-10-2012,6530,3793,1011,1235,20700.1,24047.62,5479.62,8805.55
845,09-10-2012,1900,3939,4374,1905,6023,24973.26,23707.08,13582.65
846,10-10-2012,2342,1168,3693,1289,7424.14,7405.12,20016.06,9190.57
847,11-10-2012,4088,1658,4411,472,12958.96,10511.72,23907.62,3365.36
848,12-10-2012,2656,1431,1366,717,8419.52,9072.54,7403.72,5112.21
849,13-10-2012,7783,3808,1534,1286,24672.11,24142.72,8314.28,9169.18
850,14-10-2012,5859,1302,4287,784,18573.03,8254.68,23235.54,5589.92
851,15-10-2012,3186,377,5682,1450,10099.62,2390.18,30796.44,10338.5
852,16-10-2012,2101,2456,1295,1037,6660.17,15571.04,7018.9,7393.81
853,17-10-2012,5816,2516,2076,1130,18436.72,15951.44,11251.92,8056.9
854,18-10-2012,743,2260,1323,1150,2355.31,14328.4,7170.66,8199.5
855,19-10-2012,6561,2651,1877,1860,20798.37,16807.34,10173.34,13261.8
856,20-10-2012,7875,1511,2797,790,24963.75,9579.74,15159.74,5632.7
857,21-10-2012,6713,661,3284,590,21280.21,4190.74,17799.28,4206.7
858,22-10-2012,7810,3608,2715,1488,24757.7,22874.72,14715.3,10609.44
859,23-10-2012,6585,2056,2149,1826,20874.45,13035.04,11647.58,13019.38
860,24-10-2012,2146,1167,3469,626,6802.82,7398.78,18801.98,4463.38
861,25-10-2012,7588,3898,3723,500,24053.96,24713.32,20178.66,3565
862,26-10-2012,871,2016,5767,1700,2761.07,12781.44,31257.14,12121
863,27-10-2012,4618,1979,3997,1635,14639.06,12546.86,21663.74,11657.55
864,28-10-2012,1915,393,5139,1168,6070.55,2491.62,27853.38,8327.84
865,29-10-2012,5822,3158,2749,535,18455.74,20021.72,14899.58,3814.55
866,30-10-2012,6824,1979,2084,338,21632.08,12546.86,11295.28,2409.94
867,01-11-2012,2744,1142,5750,1627,8698.48,7240.28,31165,11600.51
868,02-11-2012,4171,3461,955,767,13222.07,21942.74,5176.1,5468.71
869,03-11-2012,1129,1018,5991,1561,3578.93,6454.12,32471.22,11129.93
870,04-11-2012,5810,2467,1854,511,18417.7,15640.78,10048.68,3643.43
871,05-11-2012,2277,3615,1096,1609,7218.09,22919.1,5940.32,11472.17
872,06-11-2012,7790,510,2429,732,24694.3,3233.4,13165.18,5219.16
873,07-11-2012,6387,1929,5576,1809,20246.79,12229.86,30221.92,12898.17
874,08-11-2012,3132,3134,2754,1184,9928.44,19869.56,14926.68,8441.92
875,09-11-2012,4202,821,3100,897,13320.34,5205.14,16802,6395.61
876,10-11-2012,4921,1484,5703,1995,15599.57,9408.56,30910.26,14224.35
877,11-11-2012,4045,3479,2823,1606,12822.65,22056.86,15300.66,11450.78
878,12-11-2012,3188,2142,5493,1739,10105.96,13580.28,29772.06,12399.07
879,13-11-2012,3236,274,4872,260,10258.12,1737.16,26406.24,1853.8
880,14-11-2012,6145,498,4273,1942,19479.65,3157.32,23159.66,13846.46
881,15-11-2012,3260,1954,2317,887,10334.2,12388.36,12558.14,6324.31
882,16-11-2012,5731,2341,1541,463,18167.27,14841.94,8352.22,3301.19
883,17-11-2012,2408,1768,1693,553,7633.36,11209.12,9176.06,3942.89
884,18-11-2012,761,560,1769,1828,2412.37,3550.4,9587.98,13033.64
885,19-11-2012,1543,3060,2811,1276,4891.31,19400.4,15235.62,9097.88
886,20-11-2012,2839,2831,2642,1816,8999.63,17948.54,14319.64,12948.08
887,21-11-2012,1759,2346,5806,1360,5576.03,14873.64,31468.52,9696.8
888,22-11-2012,2612,2847,3322,1975,8280.04,18049.98,18005.24,14081.75
889,23-11-2012,6309,3291,575,311,19999.53,20864.94,3116.5,2217.43
890,24-11-2012,2377,1257,4654,1823,7535.09,7969.38,25224.68,12997.99
891,25-11-2012,7738,1436,2928,297,24529.46,9104.24,15869.76,2117.61
892,26-11-2012,7033,615,658,796,22294.61,3899.1,3566.36,5675.48
893,27-11-2012,2832,883,907,1338,8977.44,5598.22,4915.94,9539.94
894,28-11-2012,6058,3737,3465,1965,19203.86,23692.58,18780.3,14010.45
895,29-11-2012,2231,3306,319,874,7072.27,20960.04,1728.98,6231.62
896,30-11-2012,3768,2043,2834,736,11944.56,12952.62,15360.28,5247.68
897,31-11-2012,2509,2666,4146,593,7953.53,16902.44,22471.32,4228.09
898,01-12-2012,5282,621,867,838,16743.94,3937.14,4699.14,5974.94
899,02-12-2012,6410,1854,2321,1645,20319.7,11754.36,12579.82,11728.85
900,03-12-2012,6466,564,2436,1883,20497.22,3575.76,13203.12,13425.79
901,04-12-2012,7101,490,1300,1734,22510.17,3106.6,7046,12363.42
902,05-12-2012,864,3725,3642,1925,2738.88,23616.5,19739.64,13725.25
903,06-12-2012,6753,1514,2268,1001,21407.01,9598.76,12292.56,7137.13
904,07-12-2012,6852,892,521,579,21720.84,5655.28,2823.82,4128.27
905,08-12-2012,6154,1175,3177,1382,19508.18,7449.5,17219.34,9853.66
906,09-12-2012,4130,1949,4141,850,13092.1,12356.66,22444.22,6060.5
907,10-12-2012,5638,3684,1690,1804,17872.46,23356.56,9159.8,12862.52
908,11-12-2012,6486,2012,1393,837,20560.62,12756.08,7550.06,5967.81
909,12-12-2012,829,1529,802,680,2627.93,9693.86,4346.84,4848.4
910,13-12-2012,1072,1028,2450,1683,3398.24,6517.52,13279,11999.79
911,14-12-2012,7852,1544,1181,1419,24890.84,9788.96,6401.02,10117.47
912,15-12-2012,7472,491,4826,489,23686.24,3112.94,26156.92,3486.57
913,16-12-2012,3144,2619,4597,751,9966.48,16604.46,24915.74,5354.63
914,17-12-2012,5230,699,504,1615,16579.1,4431.66,2731.68,11514.95
915,18-12-2012,6148,2661,536,714,19489.16,16870.74,2905.12,5090.82
916,19-12-2012,1620,578,552,810,5135.4,3664.52,2991.84,5775.3
917,20-12-2012,263,1634,1101,1380,833.71,10359.56,5967.42,9839.4
918,21-12-2012,4304,3211,3210,1031,13643.68,20357.74,17398.2,7351.03
919,22-12-2012,6502,1305,5079,1911,20611.34,8273.7,27528.18,13625.43
920,23-12-2012,556,559,3145,476,1762.52,3544.06,17045.9,3393.88
921,24-12-2012,7513,2099,3126,1830,23816.21,13307.66,16942.92,13047.9
922,25-12-2012,3698,1542,2582,357,11722.66,9776.28,13994.44,2545.41
923,26-12-2012,5797,1135,1165,1745,18376.49,7195.9,6314.3,12441.85
924,27-12-2012,2291,3222,4726,998,7262.47,20427.48,25614.92,7115.74
925,28-12-2012,2136,1997,4659,1329,6771.12,12660.98,25251.78,9475.77
926,29-12-2012,1218,1486,1085,1190,3861.06,9421.24,5880.7,8484.7
927,30-12-2012,4163,3600,1710,448,13196.71,22824,9268.2,3194.24
928,01-01-2013,656,3758,3456,1525,2079.52,23825.72,18731.52,10873.25
929,02-01-2013,2357,1244,3229,1640,7471.69,7886.96,17501.18,11693.2
930,03-01-2013,4360,3596,2527,885,13821.2,22798.64,13696.34,6310.05
931,04-01-2013,4970,2809,393,1613,15754.9,17809.06,2130.06,11500.69
932,05-01-2013,6491,3347,2240,807,20576.47,21219.98,12140.8,5753.91
933,06-01-2013,2020,2228,664,1876,6403.4,14125.52,3598.88,13375.88
934,07-01-2013,3144,3071,4846,1894,9966.48,19470.14,26265.32,13504.22
935,08-01-2013,5727,2011,5992,1077,18154.59,12749.74,32476.64,7679.01
936,09-01-2013,2660,1905,4432,1358,8432.2,12077.7,24021.44,9682.54
937,10-01-2013,5349,371,2273,722,16956.33,2352.14,12319.66,5147.86
938,11-01-2013,6816,3269,5117,411,21606.72,20725.46,27734.14,2930.43
939,12-01-2013,6272,2430,5592,992,19882.24,15406.2,30308.64,7072.96
940,13-01-2013,7474,1552,1229,447,23692.58,9839.68,6661.18,3187.11
941,14-01-2013,7060,1163,4587,1531,22380.2,7373.42,24861.54,10916.03
942,15-01-2013,796,2259,4677,1863,2523.32,14322.06,25349.34,13283.19
943,16-01-2013,6631,3376,4632,1491,21020.27,21403.84,25105.44,10630.83
944,17-01-2013,5052,382,4095,1767,16014.84,2421.88,22194.9,12598.71
945,18-01-2013,1449,2597,2574,836,4593.33,16464.98,13951.08,5960.68
946,19-01-2013,5206,1217,3440,596,16503.02,7715.78,18644.8,4249.48
947,20-01-2013,1959,2803,3443,1948,6210.03,17771.02,18661.06,13889.24
948,21-01-2013,4253,2016,3006,1386,13482.01,12781.44,16292.52,9882.18
949,22-01-2013,7280,3603,5599,542,23077.6,22843.02,30346.58,3864.46
950,23-01-2013,3455,3342,1947,473,10952.35,21188.28,10552.74,3372.49
951,24-01-2013,793,3569,557,978,2513.81,22627.46,3018.94,6973.14
952,25-01-2013,4668,769,1903,679,14797.56,4875.46,10314.26,4841.27
953,26-01-2013,3110,324,1901,704,9858.7,2054.16,10303.42,5019.52
954,27-01-2013,7097,1535,5548,1664,22497.49,9731.9,30070.16,11864.32
955,28-01-2013,7102,3178,2295,465,22513.34,20148.52,12438.9,3315.45
956,29-01-2013,5534,2679,1603,1124,17542.78,16984.86,8688.26,8014.12
957,30-01-2013,5356,2661,5233,1056,16978.52,16870.74,28362.86,7529.28
958,31-01-2013,1502,2159,5095,637,4761.34,13688.06,27614.9,4541.81
959,01-02-2013,2680,1270,655,1231,8495.6,8051.8,3550.1,8777.03
960,02-02-2013,2204,3179,2307,575,6986.68,20154.86,12503.94,4099.75
961,03-02-2013,2256,3789,3480,1645,7151.52,24022.26,18861.6,11728.85
962,04-02-2013,3666,3355,2625,496,11621.22,21270.7,14227.5,3536.48
963,05-02-2013,1852,357,3460,1655,5870.84,2263.38,18753.2,11800.15
964,06-02-2013,692,2994,715,513,2193.64,18981.96,3875.3,3657.69
965,07-02-2013,3599,3334,3656,788,11408.83,21137.56,19815.52,5618.44
966,08-02-2013,6729,1953,2772,1499,21330.93,12382.02,15024.24,10687.87
967,09-02-2013,2171,1471,2609,880,6882.07,9326.14,14140.78,6274.4
968,10-02-2013,796,3607,5169,1205,2523.32,22868.38,28015.98,8591.65
969,11-02-2013,5909,3689,2003,887,18731.53,23388.26,10856.26,6324.31
970,12-02-2013,2993,1289,4231,911,9487.81,8172.26,22932.02,6495.43
971,13-02-2013,3407,801,1011,728,10800.19,5078.34,5479.62,5190.64
972,14-02-2013,5252,1162,1353,350,16648.84,7367.08,7333.26,2495.5
973,15-02-2013,1237,3560,639,353,3921.29,22570.4,3463.38,2516.89
974,16-02-2013,7951,3979,1477,1767,25204.67,25226.86,8005.34,12598.71
975,17-02-2013,7678,619,264,452,24339.26,3924.46,1430.88,3222.76
976,18-02-2013,6916,3058,5422,426,21923.72,19387.72,29387.24,3037.38
977,19-02-2013,5178,593,5536,772,16414.26,3759.62,30005.12,5504.36
978,20-02-2013,7697,896,5263,801,24399.49,5680.64,28525.46,5711.13
979,21-02-2013,4074,824,2435,323,12914.58,5224.16,13197.7,2302.99
980,22-02-2013,6262,2971,3161,1670,19850.54,18836.14,17132.62,11907.1
981,23-02-2013,3719,2596,5155,1427,11789.23,16458.64,27940.1,10174.51
982,24-02-2013,6520,700,4028,1651,20668.4,4438,21831.76,11771.63
983,25-02-2013,3968,784,994,723,12578.56,4970.56,5387.48,5154.99
984,26-02-2013,4687,2600,4744,1994,14857.79,16484,25712.48,14217.22
985,27-02-2013,5373,982,2917,1273,17032.41,6225.88,15810.14,9076.49
986,28-02-2013,5008,1261,4434,583,15875.36,7994.74,24032.28,4156.79
987,01-03-2013,625,1664,5471,865,1981.25,10549.76,29652.82,6167.45
988,02-03-2013,7168,580,3166,693,22722.56,3677.2,17159.72,4941.09
989,03-03-2013,4126,3150,2606,878,13079.42,19971,14124.52,6260.14
990,04-03-2013,2424,1790,2966,949,7684.08,11348.6,16075.72,6766.37
991,05-03-2013,4811,925,4208,769,15250.87,5864.5,22807.36,5482.97
992,06-03-2013,4269,3176,4701,1720,13532.73,20135.84,25479.42,12263.6
993,07-03-2013,2214,1245,1193,429,7018.38,7893.3,6466.06,3058.77
994,08-03-2013,7479,677,4792,1324,23708.43,4292.18,25972.64,9440.12
995,09-03-2013,7599,1303,3561,1024,24088.83,8261.02,19300.62,7301.12
996,10-03-2013,6652,3501,5970,1946,21086.84,22196.34,32357.4,13874.98
997,11-03-2013,2189,742,2534,1476,6939.13,4704.28,13734.28,10523.88
998,12-03-2013,479,1397,4527,954,1518.43,8856.98,24536.34,6802.02
999,13-03-2013,3298,3335,1363,1911,10454.66,21143.9,7387.46,13625.43
1000,14-03-2013,489,2568,4280,275,1550.13,16281.12,23197.6,1960.75
1001,15-03-2013,2987,2069,2337,325,9468.79,13117.46,12666.54,2317.25
1002,16-03-2013,7478,1742,4233,809,23705.26,11044.28,22942.86,5768.17
1003,17-03-2013,7202,471,2064,351,22830.34,2986.14,11186.88,2502.63
1004,18-03-2013,3100,1006,5087,1621,9827,6378.04,27571.54,11557.73
1005,19-03-2013,7500,1965,769,768,23775,12458.1,4167.98,5475.84
1006,20-03-2013,3007,1783,3482,1421,9532.19,11304.22,18872.44,10131.73
1007,21-03-2013,5538,2867,5139,1824,17555.46,18176.78,27853.38,13005.12
1008,22-03-2013,7658,2328,3326,1284,24275.86,14759.52,18026.92,9154.92
1009,23-03-2013,3325,1746,5804,1499,10540.25,11069.64,31457.68,10687.87
1010,24-03-2013,5363,2384,2298,978,17000.71,15114.56,12455.16,6973.14
1011,25-03-2013,7511,3378,1668,1017,23809.87,21416.52,9040.56,7251.21
1012,26-03-2013,4290,719,1029,828,13599.3,4558.46,5577.18,5903.64
1013,27-03-2013,4068,2503,2921,842,12895.56,15869.02,15831.82,6003.46
1014,28-03-2013,1375,2207,5933,937,4358.75,13992.38,32156.86,6680.81
1015,29-03-2013,4272,3434,4858,542,13542.24,21771.56,26330.36,3864.46
1016,30-03-2013,5291,2845,3608,1207,16772.47,18037.3,19555.36,8605.91
1017,31-03-2013,2258,1329,1068,1287,7157.86,8425.86,5788.56,9176.31
1018,01-04-2013,757,618,1922,1765,2399.69,3918.12,10417.24,12584.45
1019,02-04-2013,4196,3895,3519,1883,13301.32,24694.3,19072.98,13425.79
1020,03-04-2013,1207,3861,3980,1443,3826.19,24478.74,21571.6,10288.59
1021,04-04-2013,2918,3591,2585,1335,9250.06,22766.94,14010.7,9518.55
1022,05-04-2013,3951,878,3479,596,12524.67,5566.52,18856.18,4249.48
1023,06-04-2013,2274,3092,1015,1629,7208.58,19603.28,5501.3,11614.77
1024,07-04-2013,1776,661,3456,1754,5629.92,4190.74,18731.52,12506.02
1025,08-04-2013,6632,831,5986,583,21023.44,5268.54,32444.12,4156.79
1026,09-04-2013,7786,1114,4382,415,24681.62,7062.76,23750.44,2958.95
1027,10-04-2013,528,450,5673,1751,1673.76,2853,30747.66,12484.63
1028,11-04-2013,2282,1151,5107,1201,7233.94,7297.34,27679.94,8563.13
1029,12-04-2013,4304,995,1201,745,13643.68,6308.3,6509.42,5311.85
1030,13-04-2013,2112,1467,3400,1000,6695.04,9300.78,18428,7130
1031,14-04-2013,2266,2581,454,1855,7183.22,16363.54,2460.68,13226.15
1032,15-04-2013,7211,842,1981,1238,22858.87,5338.28,10737.02,8826.94
1033,16-04-2013,5978,3863,5636,1022,18950.26,24491.42,30547.12,7286.86
1034,17-04-2013,5587,653,586,799,17710.79,4140.02,3176.12,5696.87
1035,18-04-2013,6175,2007,1938,342,19574.75,12724.38,10503.96,2438.46
1036,19-04-2013,6773,1738,1907,1974,21470.41,11018.92,10335.94,14074.62
1037,20-04-2013,3224,1946,2660,1931,10220.08,12337.64,14417.2,13768.03
1038,21-04-2013,6924,2905,3003,1463,21949.08,18417.7,16276.26,10431.19
1039,22-04-2013,7573,2667,1306,455,24006.41,16908.78,7078.52,3244.15
1040,23-04-2013,4641,3253,1671,1395,14711.97,20624.02,9056.82,9946.35
1041,24-04-2013,7351,3205,4797,1207,23302.67,20319.7,25999.74,8605.91
1042,25-04-2013,2238,306,3875,1581,7094.46,1940.04,21002.5,11272.53
1043,26-04-2013,1143,3581,5659,811,3623.31,22703.54,30671.78,5782.43
1044,27-04-2013,4807,1513,1447,1710,15238.19,9592.42,7842.74,12192.3
1045,28-04-2013,482,3889,3614,1788,1527.94,24656.26,19587.88,12748.44
1046,29-04-2013,2890,3223,3997,1641,9161.3,20433.82,21663.74,11700.33
1047,30-04-2013,5656,1430,4956,747,17929.52,9066.2,26861.52,5326.11
1048,01-05-2013,1674,2811,5545,1747,5306.58,17821.74,30053.9,12456.11
1049,02-05-2013,354,3005,1747,1840,1122.18,19051.7,9468.74,13119.2
1050,03-05-2013,7794,2577,5005,301,24706.98,16338.18,27127.1,2146.13
1051,04-05-2013,3537,1835,2953,792,11212.29,11633.9,16005.26,5646.96
1052,05-05-2013,5714,1170,5449,1558,18113.38,7417.8,29533.58,11108.54
1053,06-05-2013,5753,341,4345,904,18237.01,2161.94,23549.9,6445.52
1054,07-05-2013,7274,1656,4003,706,23058.58,10499.04,21696.26,5033.78
